#      x         y     xt     yt     yu
  670.53  0.338763  -5.00   0.40   0.00
  691.07  0.256002   5.00   0.40   0.00
 1020.48  0.384843  -5.00   0.40   0.00
 1038.97  0.197651   5.00   0.40   0.00
 1092.29  0.211534   0.00   0.00   0.00
 1123.74  0.212554   0.00   0.00   0.00
 1180.10  0.172675   0.00   0.00   0.00
 1205.14  0.121516   0.00   0.00   0.00
 1235.90  0.142857   0.00   0.00   0.00
 1324.95  2.193004 -15.00   1.10   0.00
 1333.65  1.916313   0.00   1.10   0.00
 1358.33  1.645277   0.00   1.10   0.00
 1367.48  1.411419  15.00   1.10   0.00
 1409.28  0.524032   0.00   0.00   0.00
 1481.88  5.749201   0.00   0.00   0.00
 1538.23  0.925416   0.00   0.00   0.00
 1578.66  3.550378  -9.00   0.70   0.00
 1601.59  2.452915  -7.00   0.90   0.00
 1612.40  1.882061   5.00   0.40   0.00
 1644.68  0.607303   0.00   0.00   0.00
 1683.92  0.472858   0.00   0.00   0.00
 1725.77  0.264284  -5.00   0.40   0.00
