#      x         y     xt     yt     yu
  669.64  0.496944  -7.00   0.60   0.00
  691.46  0.191441   0.00   0.00   0.00
  716.89  0.223249   0.00   0.00   0.00
  770.71  0.434016 -15.00   1.10   0.00
  781.78  0.871320   0.00   1.10   0.00
  803.10  0.287035   5.00   1.10   0.00
  825.76  0.186729   8.00   1.10   0.00
 1021.80  0.389280 -13.00   1.20   0.00
 1046.86  0.137682 -13.00   1.20   0.00
 1078.17  0.264419 -16.00   1.20   0.00
 1108.09  0.332268 -18.00   1.20   0.00
 1121.23  0.424183  -8.00   1.20   0.00
 1138.50  0.274954   0.00   1.20   0.00
 1179.03  0.191667 -18.00   1.20   0.00
 1196.09  0.151186 -12.00   1.20   0.00
 1207.42  0.207601   0.00   1.20   0.00
 1231.96  0.454804   0.00   1.20   0.00
 1250.09  0.324570   8.00   1.20   0.00
 1292.20  0.893778   0.00   0.00   0.00
 1314.79  3.521127  -7.00   1.20   0.00
 1321.26  3.434681  12.00   1.20   0.00
 1362.73  2.126625   0.00   1.20   0.00
 1372.15  1.863315  15.00   1.20   0.00
 1388.57  1.114318  22.00   1.20   0.00
 1410.98  0.923068  24.00   1.20   0.00
 1482.79  9.652579   0.00   0.00   0.00
 1528.71  4.629436  -8.00   0.60   0.00
 1537.21  3.472434   8.00   0.60   0.40
 1573.10  4.507663  -5.00   0.40   0.00
 1600.03  3.128820  -8.00   0.60   0.00
 1615.04  2.608219   3.00   0.10   0.00
 1644.20  1.841824   0.00   0.10   0.00
 1697.26  0.670708   0.00   0.00   0.00
 1718.98  0.356558   0.00   0.00   0.00
