#      x         y     xt     yt     yu
  666.88  0.185770   0.00   0.00   0.00
  728.94  0.455100   0.00   0.00   0.00
  750.79  0.205706   0.00   0.00   0.00
  785.54  0.339082   0.00   0.00   0.00
  825.32  0.094903   0.00   0.00   0.00
  915.89  0.113194   0.00   0.00   0.00
  963.44  0.179377   0.00   0.00   0.00
 1017.93  0.201150   0.00   0.00   0.00
 1123.54  0.041571 -15.00   0.50   0.00
 1141.81  0.063198 -10.00   0.50   0.00
 1168.52  0.161998 -10.00   0.50   0.00
 1189.57  0.224058  -7.00   0.50   0.00
 1208.44  0.282564  -2.00   0.50   0.00
 1230.50  0.481284   0.00   0.50   0.00
 1254.26  0.911297   0.00   0.00   0.00
 1304.50  0.986622   0.00   0.00   0.00
 1338.48  2.326249   0.00   0.00   0.00
 1376.04  1.403392   0.00   0.00   0.00
 1422.16  0.583722   0.00   0.00   0.00
 1449.09  0.360463   0.00   0.00   0.00
 1481.90  1.625154   0.00   0.00   0.00
 1512.34  0.666505   0.00   0.00   0.00
 1576.67  1.192684   0.00   0.00   0.00
 1604.28  0.545057   0.00   0.00   0.00
 1647.92  1.160902 -10.00   0.50   0.00
 1660.56  0.829730   0.00   0.50   0.00
 1675.79  0.485266   7.00   0.50   0.00
 1714.56  0.093165   0.00   0.00   0.00
