# t(min)  I
   2.15   3.3489e-01
   3.15   3.2978e-01
   4.15   3.1261e-01
   5.15   2.2586e-01
   6.15   2.2705e-01
   7.15   2.5273e-01
   8.15   2.0831e-01
   9.15   1.9812e-01
  10.15   2.1560e-01
  11.15   2.2576e-01
  12.15   1.8498e-01
  13.15   1.8491e-01
  14.15   1.5843e-01
  15.15   1.6385e-01
  16.15   1.3512e-01
  17.15   1.1731e-01
  18.15   1.3399e-01
  19.15   1.1723e-01
  20.15   1.1581e-01
  21.15   1.0842e-01
  22.15   9.8309e-02
  23.15   8.3862e-02
  24.15   8.6360e-02
  25.15   8.5266e-02
  26.15   7.4775e-02
