# nu(cm-1)        I    I_pol
    1199.0  0.56819  0.56052
    1199.5  0.56840  0.56051
    1200.0  0.56863  0.56050
    1200.5  0.56887  0.56049
    1201.0  0.56913  0.56048
    1201.5  0.56941  0.56047
    1202.0  0.56970  0.56046
    1202.5  0.57001  0.56045
    1203.0  0.57035  0.56044
    1203.5  0.57071  0.56042
    1204.0  0.57109  0.56041
    1204.5  0.57151  0.56040
    1205.0  0.57196  0.56039
    1205.5  0.57245  0.56038
    1206.0  0.57298  0.56037
    1206.5  0.57355  0.56036
    1207.0  0.57418  0.56035
    1207.5  0.57486  0.56034
    1208.0  0.57560  0.56033
    1208.5  0.57640  0.56031
    1209.0  0.57728  0.56030
    1209.5  0.57824  0.56029
    1210.0  0.57928  0.56028
    1210.5  0.58042  0.56027
    1211.0  0.58166  0.56026
    1211.5  0.58300  0.56025
    1212.0  0.58446  0.56024
    1212.5  0.58605  0.56023
    1213.0  0.58777  0.56022
    1213.5  0.58962  0.56020
    1214.0  0.59163  0.56019
    1214.5  0.59378  0.56018
    1215.0  0.59610  0.56017
    1215.5  0.59858  0.56016
    1216.0  0.60123  0.56015
    1216.5  0.60406  0.56014
    1217.0  0.60707  0.56013
    1217.5  0.61026  0.56012
    1218.0  0.61364  0.56010
    1218.5  0.61719  0.56009
    1219.0  0.62092  0.56008
    1219.5  0.62483  0.56007
    1220.0  0.62891  0.56006
    1220.5  0.63315  0.56005
    1221.0  0.63754  0.56004
    1221.5  0.64206  0.56003
    1222.0  0.64671  0.56002
    1222.5  0.65146  0.56001
    1223.0  0.65629  0.55999
    1223.5  0.66117  0.55998
    1224.0  0.66607  0.55997
    1224.5  0.67097  0.55996
    1225.0  0.67581  0.55995
    1225.5  0.68056  0.55994
    1226.0  0.68517  0.55993
    1226.5  0.68959  0.55992
    1227.0  0.69376  0.55991
    1227.5  0.69765  0.55989
    1228.0  0.70118  0.55988
    1228.5  0.70431  0.55987
    1229.0  0.70700  0.55986
    1229.5  0.70920  0.55985
    1230.0  0.71089  0.55984
    1230.5  0.71204  0.55983
    1231.0  0.71265  0.55982
    1231.5  0.71273  0.55981
    1232.0  0.71229  0.55980
    1232.5  0.71137  0.55978
    1233.0  0.71000  0.55977
    1233.5  0.70824  0.55976
    1234.0  0.70613  0.55975
    1234.5  0.70373  0.55974
    1235.0  0.70111  0.55973
    1235.5  0.69830  0.55972
    1236.0  0.69537  0.55971
    1236.5  0.69237  0.55970
    1237.0  0.68933  0.55968
    1237.5  0.68630  0.55967
    1238.0  0.68330  0.55966
    1238.5  0.68038  0.55965
    1239.0  0.67754  0.55964
    1239.5  0.67480  0.55963
    1240.0  0.67219  0.55962
    1240.5  0.66971  0.55961
    1241.0  0.66735  0.55960
    1241.5  0.66513  0.55959
    1242.0  0.66304  0.55957
    1242.5  0.66106  0.55956
    1243.0  0.65918  0.55955
    1243.5  0.65740  0.55954
    1244.0  0.65569  0.55953
    1244.5  0.65403  0.55952
    1245.0  0.65239  0.55951
    1245.5  0.65077  0.55950
    1246.0  0.64914  0.55949
