# nu(cm-1)        I    I_pol
     631.0  0.68794  0.67321
     631.5  0.68727  0.67313
     632.0  0.68664  0.67305
     632.5  0.68604  0.67296
     633.0  0.68548  0.67288
     633.5  0.68494  0.67279
     634.0  0.68443  0.67271
     634.5  0.68394  0.67262
     635.0  0.68348  0.67254
     635.5  0.68303  0.67245
     636.0  0.68260  0.67237
     636.5  0.68219  0.67228
     637.0  0.68179  0.67220
     637.5  0.68141  0.67211
     638.0  0.68104  0.67203
     638.5  0.68068  0.67194
     639.0  0.68034  0.67186
     639.5  0.68001  0.67178
     640.0  0.67968  0.67169
     640.5  0.67937  0.67161
     641.0  0.67907  0.67152
     641.5  0.67877  0.67144
     642.0  0.67849  0.67135
     642.5  0.67821  0.67127
     643.0  0.67794  0.67118
     643.5  0.67768  0.67110
     644.0  0.67742  0.67101
     644.5  0.67717  0.67093
     645.0  0.67693  0.67084
     645.5  0.67669  0.67076
     646.0  0.67646  0.67067
     646.5  0.67624  0.67059
     647.0  0.67601  0.67051
     647.5  0.67580  0.67042
     648.0  0.67559  0.67034
     648.5  0.67538  0.67025
     649.0  0.67518  0.67017
     649.5  0.67498  0.67008
     650.0  0.67478  0.67000
     650.5  0.67459  0.66991
     651.0  0.67440  0.66983
     651.5  0.67422  0.66974
     652.0  0.67404  0.66966
     652.5  0.67386  0.66957
     653.0  0.67368  0.66949
     653.5  0.67351  0.66940
     654.0  0.67334  0.66932
     654.5  0.67317  0.66924
     655.0  0.67301  0.66915
     655.5  0.67284  0.66907
     656.0  0.67268  0.66898
     656.5  0.67253  0.66890
     657.0  0.67237  0.66881
     657.5  0.67222  0.66873
     658.0  0.67206  0.66864
     658.5  0.67191  0.66856
     659.0  0.67177  0.66847
     659.5  0.67162  0.66839
     660.0  0.67148  0.66830
     660.5  0.67133  0.66822
     661.0  0.67119  0.66813
     661.5  0.67105  0.66805
     662.0  0.67091  0.66796
     662.5  0.67078  0.66788
     663.0  0.67064  0.66780
     663.5  0.67051  0.66771
     664.0  0.67037  0.66763
     664.5  0.67024  0.66754
     665.0  0.67011  0.66746
     665.5  0.66998  0.66737
     666.0  0.66985  0.66729
     666.5  0.66973  0.66720
     667.0  0.66960  0.66712
     667.5  0.66948  0.66703
     668.0  0.66935  0.66695
     668.5  0.66923  0.66686
     669.0  0.66911  0.66678
     669.5  0.66898  0.66669
     670.0  0.66886  0.66661
     670.5  0.66874  0.66653
     671.0  0.66863  0.66644
     671.5  0.66851  0.66636
     672.0  0.66839  0.66627
     672.5  0.66827  0.66619
     673.0  0.66816  0.66610
     673.5  0.66804  0.66602
     674.0  0.66793  0.66593
     674.5  0.66781  0.66585
     675.0  0.66770  0.66576
     675.5  0.66759  0.66568
     676.0  0.66748  0.66559
     676.5  0.66736  0.66551
     677.0  0.66725  0.66542
     677.5  0.66714  0.66534
     678.0  0.66703  0.66526
     678.5  0.66692  0.66517
     679.0  0.66682  0.66509
     679.5  0.66671  0.66500
     680.0  0.66660  0.66492
     680.5  0.66649  0.66483
     681.0  0.66638  0.66475
     681.5  0.66628  0.66466
     682.0  0.66617  0.66458
     682.5  0.66607  0.66449
     683.0  0.66596  0.66441
     683.5  0.66586  0.66432
     684.0  0.66575  0.66424
     684.5  0.66565  0.66415
     685.0  0.66554  0.66407
     685.5  0.66544  0.66399
     686.0  0.66534  0.66390
     686.5  0.66524  0.66382
     687.0  0.66513  0.66373
     687.5  0.66503  0.66365
     688.0  0.66493  0.66356
     688.5  0.66483  0.66348
     689.0  0.66473  0.66339
     689.5  0.66463  0.66331
     690.0  0.66453  0.66322
     690.5  0.66443  0.66314
     691.0  0.66433  0.66305
     691.5  0.66423  0.66297
     692.0  0.66413  0.66288
     692.5  0.66403  0.66280
     693.0  0.66393  0.66272
     693.5  0.66383  0.66263
     694.0  0.66373  0.66255
     694.5  0.66363  0.66246
     695.0  0.66354  0.66238
     695.5  0.66344  0.66229
     696.0  0.66334  0.66221
     696.5  0.66324  0.66212
     697.0  0.66315  0.66204
     697.5  0.66305  0.66195
     698.0  0.66295  0.66187
     698.5  0.66286  0.66178
     699.0  0.66276  0.66170
     699.5  0.66266  0.66161
     700.0  0.66257  0.66153
     700.5  0.66247  0.66144
     701.0  0.66238  0.66136
     701.5  0.66228  0.66128
     702.0  0.66219  0.66119
     702.5  0.66209  0.66111
     703.0  0.66200  0.66102
     703.5  0.66190  0.66094
     704.0  0.66181  0.66085
     704.5  0.66171  0.66077
     705.0  0.66162  0.66068
     705.5  0.66152  0.66060
     706.0  0.66143  0.66051
     706.5  0.66134  0.66043
     707.0  0.66124  0.66034
     707.5  0.66115  0.66026
     708.0  0.66106  0.66017
     708.5  0.66096  0.66009
     709.0  0.66087  0.66001
     709.5  0.66078  0.65992
     710.0  0.66068  0.65984
     710.5  0.66059  0.65975
     711.0  0.66050  0.65967
     711.5  0.66041  0.65958
     712.0  0.66031  0.65950
     712.5  0.66022  0.65941
     713.0  0.66013  0.65933
     713.5  0.66004  0.65924
     714.0  0.65994  0.65916
     714.5  0.65985  0.65907
     715.0  0.65976  0.65899
     715.5  0.65967  0.65890
     716.0  0.65958  0.65882
     716.5  0.65949  0.65874
     717.0  0.65939  0.65865
     717.5  0.65930  0.65857
     718.0  0.65921  0.65848
     718.5  0.65912  0.65840
     719.0  0.65903  0.65831
     719.5  0.65894  0.65823
     720.0  0.65885  0.65814
     720.5  0.65876  0.65806
     721.0  0.65867  0.65797
     721.5  0.65857  0.65789
     722.0  0.65848  0.65780
     722.5  0.65839  0.65772
     723.0  0.65830  0.65763
     723.5  0.65821  0.65755
     724.0  0.65812  0.65747
     724.5  0.65803  0.65738
     725.0  0.65794  0.65730
     725.5  0.65785  0.65721
     726.0  0.65776  0.65713
     726.5  0.65767  0.65704
     727.0  0.65758  0.65696
     727.5  0.65749  0.65687
     728.0  0.65740  0.65679
     728.5  0.65731  0.65670
     729.0  0.65722  0.65662
     729.5  0.65713  0.65653
     730.0  0.65704  0.65645
