# nu(cm-1)        I    I_pol
    1199.0  0.13287  0.06621
    1199.5  0.13492  0.06621
    1200.0  0.13707  0.06621
    1200.5  0.13932  0.06621
    1201.0  0.14168  0.06621
    1201.5  0.14416  0.06621
    1202.0  0.14677  0.06621
    1202.5  0.14950  0.06621
    1203.0  0.15238  0.06621
    1203.5  0.15540  0.06621
    1204.0  0.15859  0.06621
    1204.5  0.16194  0.06621
    1205.0  0.16548  0.06621
    1205.5  0.16921  0.06621
    1206.0  0.17316  0.06621
    1206.5  0.17733  0.06621
    1207.0  0.18175  0.06621
    1207.5  0.18644  0.06621
    1208.0  0.19141  0.06621
    1208.5  0.19670  0.06621
    1209.0  0.20232  0.06621
    1209.5  0.20832  0.06621
    1210.0  0.21472  0.06621
    1210.5  0.22155  0.06621
    1211.0  0.22886  0.06621
    1211.5  0.23668  0.06621
    1212.0  0.24506  0.06621
    1212.5  0.25403  0.06621
    1213.0  0.26365  0.06621
    1213.5  0.27396  0.06621
    1214.0  0.28501  0.06621
    1214.5  0.29685  0.06621
    1215.0  0.30953  0.06621
    1215.5  0.32309  0.06621
    1216.0  0.33758  0.06621
    1216.5  0.35303  0.06621
    1217.0  0.36950  0.06621
    1217.5  0.38700  0.06621
    1218.0  0.40556  0.06621
    1218.5  0.42519  0.06621
    1219.0  0.44592  0.06621
    1219.5  0.46772  0.06621
    1220.0  0.49058  0.06621
    1220.5  0.51448  0.06621
    1221.0  0.53937  0.06621
    1221.5  0.56518  0.06621
    1222.0  0.59184  0.06621
    1222.5  0.61924  0.06621
    1223.0  0.64726  0.06621
    1223.5  0.67574  0.06621
    1224.0  0.70451  0.06621
    1224.5  0.73336  0.06621
    1225.0  0.76206  0.06621
    1225.5  0.79032  0.06621
    1226.0  0.81784  0.06621
    1226.5  0.84431  0.06621
    1227.0  0.86935  0.06621
    1227.5  0.89261  0.06621
    1228.0  0.91374  0.06621
    1228.5  0.93239  0.06621
    1229.0  0.94826  0.06621
    1229.5  0.96112  0.06621
    1230.0  0.97081  0.06621
    1230.5  0.97725  0.06621
    1231.0  0.98048  0.06621
    1231.5  0.98060  0.06621
    1232.0  0.97781  0.06621
    1232.5  0.97234  0.06621
    1233.0  0.96451  0.06621
    1233.5  0.95461  0.06621
    1234.0  0.94298  0.06621
    1234.5  0.92991  0.06621
    1235.0  0.91571  0.06621
    1235.5  0.90064  0.06621
    1236.0  0.88493  0.06621
    1236.5  0.86878  0.06621
    1237.0  0.85237  0.06621
    1237.5  0.83585  0.06621
    1238.0  0.81934  0.06621
    1238.5  0.80293  0.06621
    1239.0  0.78672  0.06621
    1239.5  0.77075  0.06621
    1240.0  0.75508  0.06621
