# t(min)  I
   0.93   2.8597e-01
   1.43   2.5597e-01
   1.93   1.9597e-01
   2.43   1.5597e-01
   2.93   1.4597e-01
   3.43   1.2597e-01
   3.93   1.0597e-01
   4.43   9.5974e-02
   4.93   8.5974e-02
   5.43   7.5974e-02
   5.93   6.5974e-02
   6.43   6.5974e-02
   6.93   6.5974e-02
   7.43   5.5974e-02
   7.93   5.5974e-02
   8.43   4.5974e-02
   8.93   4.5974e-02
   9.43   4.5974e-02
   9.93   3.5974e-02
  10.43   3.5974e-02
  10.93   2.5974e-02
  11.43   2.5974e-02
  11.93   2.5974e-02
  12.43   2.5974e-02
  12.93   3.5974e-02
  13.43   2.5974e-02
  13.93   3.5974e-02
  14.43   2.5974e-02
  14.93   1.5974e-02
  15.43   1.5974e-02
  15.93   2.5974e-02
  16.43   1.5974e-02
  16.93   1.5974e-02
  17.43   1.5974e-02
  17.93   1.5974e-02
  18.43   5.9737e-03
  18.93   5.9737e-03
  19.43   5.9737e-03
  19.93   5.9737e-03
  20.43   5.9737e-03
  20.93   5.9737e-03
  21.43   5.9737e-03
  21.93   1.5974e-02
  22.43   5.9737e-03
  22.93   5.9737e-03
  23.43   5.9737e-03
  23.93   5.9737e-03
  24.43   5.9737e-03
  24.93   5.9737e-03
  25.43   5.9737e-03
