# t(min)  I
   2.15   7.6000e-01
   3.15   7.5000e-01
   4.15   8.3000e-01
   5.15   5.9000e-01
   6.15   5.8000e-01
   7.15   5.8000e-01
   8.15   5.5000e-01
   9.15   5.4000e-01
  10.15   5.7000e-01
  11.15   5.8000e-01
  12.15   5.6000e-01
  13.15   5.4000e-01
  14.15   5.3000e-01
  15.15   5.1000e-01
  16.15   4.7000e-01
  17.15   4.8000e-01
  18.15   5.0000e-01
  19.15   4.6000e-01
  20.15   4.5000e-01
  21.15   4.5000e-01
  22.15   4.7000e-01
  23.15   4.5000e-01
  24.15   5.0000e-01
  25.15   4.7000e-01
  26.15   4.3000e-01
